# HAN (c) Todt
WCFS1	NC8
NC_004567|lp_2498|2228973_2230550|526AA NC_004567|lp_2497|2227238_2229001|588AA	NZ_AGRI01000007|nc8_2136|2849_4426|526AA NZ_AGRI01000007|nc8_2135|1114_2877|588AA
NC_004567|lp_0956|887462_888757|432AA NC_004567|lp_1740|1579484_1580782|433AA	NZ_AGRI01000003|nc8_0851|523889_525184|432AA NZ_AGRI01000006|nc8_1496|150411_151709|433AA
NC_004567|lp_1613|1466196_1466408|71AA	NZ_AGRI01000006|nc8_1380|36362_36574|71AA
NC_004567|lp_1614|1466572_1467798|409AA	NZ_AGRI01000006|nc8_1381|36738_37964|409AA
NC_004567|lp_1611|1465051_1465386|112AA	NZ_AGRI01000006|nc8_1378|35217_35570|118AA
NC_004567|lp_1612|1465579_1466199|207AA	NZ_AGRI01000006|nc8_1379|35745_36365|207AA
NC_004567|lp_1609|1463257_1464192|312AA	NZ_AGRI01000006|nc8_1376|33423_34358|312AA
NC_004567|lp_1610|1464192_1464845|218AA	NZ_AGRI01000006|nc8_1377|34358_35011|218AA
NC_004567|lp_1605|1459362_1461056|565AA	NZ_AGRI01000006|nc8_1373|29528_31222|565AA
NC_004567|lp_1608|1462615_1463244|210AA	NZ_AGRI01000006|nc8_1375|32781_33410|210AA
NC_004567|lp_1603|1457899_1458717|273AA	NZ_AGRI01000006|nc8_1371|28065_28883|273AA
NC_004567|lp_1604|1458801_1459259|153AA	NZ_AGRI01000006|nc8_1372|28967_29425|153AA
NC_004567|lp_1617|1471212_1472555|448AA	NZ_AGRI01000006|nc8_1384|41378_42721|448AA
NC_004567|lp_1618|1472573_1473319|249AA	NZ_AGRI01000006|nc8_1385|42739_43485|249AA
NC_004567|lp_1615|1467821_1470238|806AA	NZ_AGRI01000006|nc8_1382|37987_40404|806AA
NC_004567|lp_1616|1470262_1471215|318AA	NZ_AGRI01000006|nc8_1383|40428_41381|318AA
NC_004567|lp_2094|1886551_1887846|432AA	NZ_AGRI01000006|nc8_1854|497803_499098|432AA
NC_004567|lp_2095|1888094_1888849|252AA	NZ_AGRI01000006|nc8_1855|499346_500101|252AA
NC_004567|lp_1813|1638812_1639162|117AA	NZ_AGRI01000006|nc8_1559|209871_210221|117AA
NC_004567|lp_1812|1637777_1638661|295AA	NZ_AGRI01000006|nc8_1558|208836_209720|295AA
NC_004567|lp_1815|1640896_1642245|450AA	NZ_AGRI01000006|nc8_1561|211955_213304|450AA
NC_004567|lp_1814|1639277_1640869|531AA	NZ_AGRI01000006|nc8_1560|210336_211928|531AA
NC_004567|lp_1005|927175_928857|561AA	NZ_AGRI01000003|nc8_0891|563614_565296|561AA
NC_004567|lp_1887|1705193_1705777|195AA	NZ_AGRI01000006|nc8_1619|276538_277122|195AA
NC_004567|lp_2940|2618289_2619548|420AA	NZ_AGRI01000010|nc8_2505|305150_306409|420AA
NC_004567|lp_2921|2599563_2600813|417AA	NZ_AGRI01000010|nc8_2488|286427_287677|417AA
NC_004567|lp_0736|673810_674484|225AA	NZ_AGRI01000003|nc8_0651|306887_307561|225AA
NC_004567|lp_2111|1906217_1907692|492AA	NZ_AGRI01000006|nc8_1871|517469_518992|508AA
NC_004567|lp_0758|692804_693484|227AA	NZ_AGRI01000003|nc8_0671|325881_326561|227AA
NC_004567|lp_0948|880765_881259|165AA	NZ_AGRI01000003|nc8_0843|517193_517687|165AA
NC_004567|lp_0962|893921_895729|603AA	NZ_AGRI01000003|nc8_0857|530349_532157|603AA
NC_004567|lp_2141|1932633_1934222|530AA	NZ_AGRI01000006|nc8_1895|543884_545473|530AA
NC_004567|lp_1046|958402_958713|104AA	NZ_AGRI01000003|nc8_0921|594846_595157|104AA
NC_004567|lp_1047|958742_959284|181AA	NZ_AGRI01000003|nc8_0922|595186_595728|181AA
NC_004567|lp_1050|959524_959919|132AA	NZ_AGRI01000003|nc8_0924|595971_596363|131AA
NC_004567|lp_1051|959949_960485|179AA	NZ_AGRI01000003|nc8_0925|596393_596929|179AA
NC_004567|lp_1041|957047_957481|145AA	NZ_AGRI01000003|nc8_0917|593491_593925|145AA
NC_004567|lp_1043|957471_957665|65AA	NZ_AGRI01000003|nc8_0918|593915_594109|65AA
NC_004567|lp_1044|957688_957957|90AA	NZ_AGRI01000003|nc8_0919|594132_594401|90AA
NC_004567|lp_1045|958000_958368|123AA	NZ_AGRI01000003|nc8_0920|594444_594812|123AA
NC_004567|lp_2524|2251205_2252395|397AA	NZ_AGRI01000007|nc8_2158|25082_26272|397AA
NC_004567|lp_1052|960529_960885|119AA	NZ_AGRI01000003|nc8_0926|596964_597329|122AA
NC_004567|lp_1053|960906_961406|167AA	NZ_AGRI01000003|nc8_0927|597350_597850|167AA
NC_004567|lp_1119|1016817_1017788|324AA	NZ_AGRI01000003|nc8_0984|651855_652826|324AA
NC_004567|lp_1120|1018290_1019717|476AA	NZ_AGRI01000003|nc8_0985|653328_654755|476AA
NC_004567|lp_2185|1972403_1973401|333AA	NZ_AGRI01000006|nc8_1932|583583_584581|333AA
NC_004567|lp_1121|1019838_1020419|194AA	NZ_AGRI01000003|nc8_0986|654876_655457|194AA
NC_004567|lp_1114|1012464_1013000|179AA	NZ_AGRI01000003|nc8_0980|647502_648038|179AA
NC_004567|lp_1115|1012997_1013878|294AA	NZ_AGRI01000003|nc8_0981|648035_648916|294AA
NC_004567|lp_1116|1014055_1014957|301AA	NZ_AGRI01000003|nc8_0982|649093_649995|301AA
NC_004567|lp_1118|1015132_1016775|548AA	NZ_AGRI01000003|nc8_0983|650170_651813|548AA
NC_004567|lp_1112|1009356_1010738|461AA	NZ_AGRI01000003|nc8_0978|644394_645776|461AA
NC_004567|lp_1113|1010911_1012299|463AA	NZ_AGRI01000003|nc8_0979|645949_647337|463AA
NC_004567|lp_0706|648340_648687|116AA	NZ_AGRI01000003|nc8_0624|281418_281765|116AA
NC_004567|lp_2763|2455764_2456132|123AA	NZ_AGRI01000010|nc8_2348|137162_137530|123AA
NC_004567|lp_3117|2780940_2783192|751AA	NZ_AGRI01000001|nc8_2658|142672_144924|751AA
NC_004567|lp_3123|2788963_2789787|275AA	NZ_AGRI01000001|nc8_2664|150696_151520|275AA
NC_004567|lp_3099|2759717_2760283|189AA	NZ_AGRI01000001|nc8_2641|121538_122104|189AA
NC_004567|lp_3119|2784136_2784798|221AA	NZ_AGRI01000001|nc8_2660|145869_146531|221AA
NC_004567|lp_3120|2784795_2786582|596AA	NZ_AGRI01000001|nc8_2661|146528_148315|596AA
NC_004567|lp_0422|375999_376169|57AA	NZ_AGRI01000003|nc8_0388|45859_46029|57AA
NC_004567|lp_2019|1820618_1822144|509AA	NZ_AGRI01000006|nc8_1736|391897_393423|509AA
NC_004567|lp_2035|1835300_1836598|433AA	NZ_AGRI01000006|nc8_1748|405223_406521|433AA
NC_004567|lp_1983|1796293_1797135|281AA	NZ_AGRI01000006|nc8_1719|376047_376889|281AA
NC_004567|lp_1987|1798395_1800662|756AA	NZ_AGRI01000006|nc8_1722|378149_380416|756AA
NC_004567|lp_2104|1899212_1899877|222AA	NZ_AGRI01000006|nc8_1864|510464_511135|224AA
NC_004567|lp_2996|2665207_2665386|60AA	NZ_AGRI01000001|nc8_2554|32374_32688|105AA
NC_004567|lp_0931|861713_862543|277AA	NZ_AGRI01000003|nc8_0833|503670_504500|277AA
NC_004567|lp_0787|722326_723663|446AA	NZ_AGRI01000003|nc8_0702|363754_365091|446AA
NC_004567|lp_3268|2908225_2908554|110AA	NZ_AGRI01000001|nc8_2789|267366_267707|114AA
NC_004567|lp_1124|1020760_1023465|902AA	NZ_AGRI01000003|nc8_0988|655798_658503|902AA
NC_004567|lp_2755|2448920_2449237|106AA	NZ_AGRI01000010|nc8_2341|130319_130636|106AA
NC_004567|lp_1874|1694164_1694949|262AA	NZ_AGRI01000006|nc8_1607|265509_266294|262AA
NC_004567|lp_1871|1690339_1692249|637AA	NZ_AGRI01000006|nc8_1604|261684_263594|637AA
NC_004567|lp_2741|2440504_2440779|92AA	NZ_AGRI01000010|nc8_2329|121903_122178|92AA
NC_004567|lp_2742|2440807_2441178|124AA	NZ_AGRI01000010|nc8_2330|122206_122577|124AA
NC_004567|lp_2733|2431840_2432448|203AA	NZ_AGRI01000010|nc8_2321|113239_113847|203AA
NC_004567|lp_2734|2432679_2433689|337AA	NZ_AGRI01000010|nc8_2322|114078_115088|337AA
NC_004567|lp_2735|2433701_2434504|268AA	NZ_AGRI01000010|nc8_2323|115100_115903|268AA
NC_004567|lp_2736|2434790_2435425|212AA	NZ_AGRI01000010|nc8_2324|116189_116824|212AA
NC_004567|lp_2737|2435448_2436257|270AA	NZ_AGRI01000010|nc8_2325|116847_117656|270AA
NC_004567|lp_2738|2436435_2437409|325AA	NZ_AGRI01000010|nc8_2326|117834_118808|325AA
NC_004567|lp_2739|2437911_2438669|253AA	NZ_AGRI01000010|nc8_2327|119310_120068|253AA
NC_004567|lp_2740|2438700_2440481|594AA	NZ_AGRI01000010|nc8_2328|120099_121880|594AA
NC_004567|lp_2353|2128027_2128323|99AA	NZ_AGRI01000006|nc8_2086|744432_744728|99AA
NC_004567|lp_2354|2128354_2129559|402AA	NZ_AGRI01000006|nc8_2087|744759_745964|402AA
NC_004567|lp_2345|2120496_2121608|371AA	NZ_AGRI01000006|nc8_2079|736901_738013|371AA
NC_004567|lp_2346|2121710_2122738|343AA	NZ_AGRI01000006|nc8_2080|738115_739143|343AA
NC_004567|lp_2347|2122760_2123734|325AA	NZ_AGRI01000006|nc8_2081|739165_740139|325AA
NC_004567|lp_2349|2123933_2124850|306AA	NZ_AGRI01000006|nc8_2082|740338_741255|306AA
NC_004567|lp_2350|2125093_2125917|275AA	NZ_AGRI01000006|nc8_2083|741498_742322|275AA
NC_004567|lp_2098|1891892_1893214|441AA	NZ_AGRI01000006|nc8_1858|503144_504466|441AA
NC_004567|lp_2351|2125943_2126635|231AA	NZ_AGRI01000006|nc8_2084|742348_743040|231AA
NC_004567|lp_2352|2126628_2127659|344AA	NZ_AGRI01000006|nc8_2085|743033_744064|344AA
NC_004567|lp_2983|2655127_2656089|321AA	NZ_AGRI01000001|nc8_2541|22294_23256|321AA
NC_004567|lp_2984|2656106_2656984|293AA	NZ_AGRI01000001|nc8_2542|23273_24151|293AA
NC_004567|lp_2985|2657015_2658208|398AA	NZ_AGRI01000001|nc8_2543|24182_25375|398AA
NC_004567|lp_2987|2658777_2658995|73AA	NZ_AGRI01000001|nc8_2544|25944_26162|73AA
NC_004567|lp_2988|2659090_2659890|267AA	NZ_AGRI01000001|nc8_2545|26257_27057|267AA
NC_004567|lp_3066|2728670_2729734|355AA	NZ_AGRI01000001|nc8_2613|91396_92460|355AA
NC_004567|lp_1291|1178956_1179477|174AA	NZ_AGRI01000003|nc8_1129|813825_814346|174AA
NC_004567|lp_2981|2653650_2654354|235AA	NZ_AGRI01000001|nc8_2539|20817_21521|235AA
NC_004567|lp_2982|2654355_2655134|260AA	NZ_AGRI01000001|nc8_2540|21522_22301|260AA
NC_004567|lp_1023|947887_948567|227AA	NZ_AGRI01000003|nc8_0904|584330_585010|227AA
NC_004567|lp_1025|948830_949243|138AA	NZ_AGRI01000003|nc8_0905|585273_585686|138AA
NC_004567|lp_1021|939970_943575|1202AA	NZ_AGRI01000003|nc8_0902|576403_580017|1205AA
NC_004567|lp_1022|943593_947234|1214AA	NZ_AGRI01000003|nc8_0903|580035_583676|1214AA
NC_004567|lp_1018|935944_936411|156AA	NZ_AGRI01000003|nc8_0899|572385_572852|156AA
NC_004567|lp_1020|939112_939714|201AA	NZ_AGRI01000003|nc8_0901|575554_576156|201AA
NC_004567|lp_1010|931038_931811|258AA	NZ_AGRI01000003|nc8_0895|567477_568250|258AA
NC_004567|lp_1011|932207_932842|212AA	NZ_AGRI01000003|nc8_0896|568646_569281|212AA
NC_004567|lp_1004|926465_926989|175AA	NZ_AGRI01000003|nc8_0890|562904_563428|175AA
NC_004567|lp_1008|929241_930692|484AA	NZ_AGRI01000003|nc8_0893|565680_567131|484AA
NC_004567|lp_1823|1649977_1650378|134AA	NZ_AGRI01000006|nc8_1569|221378_221788|137AA
NC_004567|lp_1834|1656716_1656916|67AA	NZ_AGRI01000006|nc8_1573|228060_228260|67AA
NC_004567|lp_1809|1635162_1636019|286AA	NZ_AGRI01000006|nc8_1555|206221_207078|286AA
NC_004567|lp_2240|2028235_2029620|462AA	NZ_AGRI01000006|nc8_1983|639095_640480|462AA
NC_004567|lp_3250|2894836_2895063|76AA	NZ_AGRI01000001|nc8_2773|253987_254214|76AA
NC_004567|lp_3247|2893559_2894041|161AA	NZ_AGRI01000001|nc8_2771|252710_253192|161AA
NC_004567|lp_3246|2892770_2893369|200AA	NZ_AGRI01000001|nc8_2770|251921_252544|208AA
NC_004567|lp_3245|2891360_2892634|425AA	NZ_AGRI01000001|nc8_2769|250510_251784|425AA
NC_004567|lp_3238|2885477_2885926|150AA	NZ_AGRI01000001|nc8_2763|244617_245075|153AA
NC_004567|lp_2190|1977564_1978349|262AA	NZ_AGRI01000006|nc8_1935|588743_589528|262AA
NC_004567|lp_3241|2889349_2890017|223AA	NZ_AGRI01000001|nc8_2766|248498_249166|223AA
NC_004567|lp_3239|2886020_2886883|288AA	NZ_AGRI01000001|nc8_2764|245169_246032|288AA
NC_004567|lp_2301|2078955_2080097|381AA	NZ_AGRI01000006|nc8_2035|689824_690966|381AA
NC_004567|lp_2300|2077165_2078724|520AA	NZ_AGRI01000006|nc8_2034|688034_689593|520AA
NC_004567|lp_2282|2061645_2062787|381AA	NZ_AGRI01000006|nc8_2022|672517_673659|381AA
NC_004567|lp_2281|2061184_2061567|128AA	NZ_AGRI01000006|nc8_2021|672056_672439|128AA
NC_004567|lp_2286|2064149_2065159|337AA	NZ_AGRI01000006|nc8_2024|675021_676031|337AA
NC_004567|lp_2285|2063097_2064131|345AA	NZ_AGRI01000006|nc8_2023|673969_675003|345AA
NC_004567|lp_2289|2065989_2066507|173AA	NZ_AGRI01000006|nc8_2027|676861_677379|173AA
NC_004567|lp_2287|2065177_2065788|204AA	NZ_AGRI01000006|nc8_2025|676049_676660|204AA
NC_004567|lp_2299|2076234_2077040|269AA	NZ_AGRI01000006|nc8_2033|687103_687909|269AA
NC_004567|lp_2292|2069863_2070270|136AA	NZ_AGRI01000006|nc8_2029|680735_681142|136AA
NC_004567|lp_1882|1699594_1700883|430AA	NZ_AGRI01000006|nc8_1614|270939_272228|430AA
NC_004567|lp_2037|1837148_1838317|390AA	NZ_AGRI01000006|nc8_1750|407071_408240|390AA
NC_004567|lp_2242|2029940_2031133|398AA	NZ_AGRI01000006|nc8_1984|640800_641993|398AA
NC_004567|lp_1854|1675492_1676346|285AA	NZ_AGRI01000006|nc8_1589|246837_247691|285AA
NC_004567|lp_0190|172010_172924|305AA	NZ_AGRI01000002|nc8_0178|184748_185662|305AA
NC_004567|lp_1422|1302964_1303911|316AA	NZ_AGRI01000004|nc8_1227|94489_95436|316AA
NC_004567|lp_1427|1308029_1308469|147AA	NZ_AGRI01000004|nc8_1231|99554_99994|147AA
NC_004567|lp_0194|176964_177878|305AA	NZ_AGRI01000002|nc8_0181|189702_190616|305AA
NC_004567|lp_0399|362398_363774|459AA	NZ_AGRI01000003|nc8_0371|33046_34422|459AA
NC_004567|lp_3544|3163852_3164475|208AA	NZ_AGRI01000001|nc8_3011|507541_508164|208AA
NC_004567|lp_0046|46600_47175|192AA	NZ_AGRI01000002|nc8_0057|61079_61654|192AA
NC_004567|lp_0047|47239_48669|477AA	NZ_AGRI01000002|nc8_0058|61718_63148|477AA
NC_004567|lp_1222|1111532_1112422|297AA	NZ_AGRI01000003|nc8_1073|747387_748607|407AA
NC_004567|lp_2425|2185855_2186034|60AA	NZ_AGRI01000006|nc8_1813|471510_471680|57AA
NC_004567|lp_0404|366003_366671|223AA	NZ_AGRI01000003|nc8_0379|39231_39899|223AA
NC_004567|lp_1899|1714728_1718078|1117AA	NZ_AGRI01000006|nc8_1629|286074_289424|1117AA
NC_004567|lp_0059|58868_59293|142AA	NZ_AGRI01000002|nc8_0067|72511_72936|142AA
NC_004567|lp_0690|634108_636711|868AA	NZ_AGRI01000003|nc8_0610|267185_269788|868AA
NC_004567|lp_0600|571808_572500|231AA	NZ_AGRI01000003|nc8_0585|246703_247395|231AA
NC_004567|lp_2796|2488267_2491383|1039AA	NZ_AGRI01000010|nc8_2375|167429_170446|1006AA
NC_004567|lp_2630|2343554_2343949|132AA	NZ_AGRI01000010|nc8_2240|25134_25529|132AA
NC_004567|lp_3471|3077901_3079859|653AA	NZ_AGRI01000001|nc8_2943|423361_425319|653AA
NC_004567|lp_2206|1991157_1992116|320AA	NZ_AGRI01000006|nc8_1949|602336_603295|320AA
NC_004567|lp_2145|1937207_1938508|434AA	NZ_AGRI01000006|nc8_1899|548370_549671|434AA
